Id,Name,District,Category,Cost
1,Planting Workshops at Oerlikon 🌿,🟥 Nord,🌲 Nature,"5,000"
2,Footpath Gardens around Train Stations 🌻,🟥 Nord,🌲 Nature,"10,000"
3,Kid Festival at Leutschenpark 👶🏻,🟥 Nord,🎻 Culture,"5,000"
4,Music Studio at Kulturbahnhof Affoltern 🎸,🟥 Nord,🎻 Culture,"10,000"
5,Safe Bike Paths around Irchel Park 🚴🏾‍♀️,🟥 Nord,🚲 Transportation,"5,000"
6,More Night Buses to Oerlikon 🚎,🟥 Nord,🚲 Transportation,"10,000"
7,Free Open Badi Space in Wollishofen 🏊🏼‍♂️,🟨 Süd,🌲 Nature,"5,000"
8,A Neighborhood Garden for Wiedikon 🏡,🟨 Süd,🌲 Nature,"10,000"
9,Environmental Film Session for Kids 🎬,🟨 Süd,🎻 Culture,"5,000"
10,Car-free Sunday Festivals on Mutschellenstrasse 🎉,🟨 Süd,🎻 Culture,"10,000"
11,Free Bike Fixing Workshops 🚴🏼‍♀️,🟨 Süd,🚲 Transportation,"5,000"
12,Car Sharing System for Young People 🚗,🟨 Süd,🚲 Transportation,"10,000"
13,Transforming City Spaces under Trees into Gardens 🌵,🟦 Ost,🌲 Nature,"5,000"
14,More Trees in Bellevue & Sechseläutenplatz 🌳,🟦 Ost,🌲 Nature,"10,000"
15,Plant Festival in the City Centre 🪴,🟦 Ost,🎻 Culture,"5,000"
16,Multicultural Festival at Sechseläutenplatz  🍻,🟦 Ost,🎻 Culture,"10,000"
17,Bike Lanes on Seefeldstrasse 🚴🏽‍♂️,🟦 Ost,🚲 Transportation,"5,000"
18,Speed bumps in the City and the Lake Front 🚙,🟦 Ost,🚲 Transportation,"10,000"
19,Bird Houses for Zurich-Höngg 🦜,🟩 West,🌲 Nature,"5,000"
20,Wet Biotope as Learning Garden in Frankental 👩🏼‍🏫,🟩 West,🌲 Nature,"10,000"
21,Dingtheke: Community Things Exchange Library in Wipkingen 📚,🟩 West,🎻 Culture,"5,000"
22,Sustainable Cooking Workshop with Kids 🧑🏼‍🍳,🟩 West,🎻 Culture,"10,000"
23,Public Bicycle Moving Trailer to be Borrowed 📦,🟩 West,🚲 Transportation,"5,000"
24,Car-free Langstrasse 🎉,🟩 West,🚲 Transportation,"10,000"
